epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.7035,1.36685,2.69569,1.43047,0.96412,0.19575,0.54046,0.31675,1.18869,2.71561,1.21693,0.00046641,0.00046641,0.00046641
2,143.178,1.28041,1.33616,1.42741,0.70937,0.75265,0.85873,0.58437,1.12173,1.17473,1.23857,0.000911633,0.000911633,0.000911633
3,208.481,1.23877,1.17078,1.36012,0.69725,0.93371,0.87532,0.57557,1.10697,0.99969,1.178,0.00132542,0.00132542,0.00132542
4,284.799,1.22214,1.10337,1.32682,0.6784,0.81522,0.81719,0.48739,1.2019,1.28172,1.25651,0.00128753,0.00128753,0.00128753
5,334.565,1.20081,1.05091,1.30189,0.79891,0.90147,0.87945,0.56984,1.0963,0.98472,1.17975,0.00124037,0.00124037,0.00124037
6,381.203,1.19165,1.02519,1.2952,0.81088,0.92906,0.90106,0.58497,1.14533,0.88476,1.18926,0.00119322,0.00119322,0.00119322
7,434.871,1.15991,0.99155,1.26053,0.75356,0.86627,0.86716,0.56345,1.1292,0.97699,1.21551,0.00114606,0.00114606,0.00114606
8,488.599,1.13741,0.95786,1.24603,0.83513,0.90124,0.90232,0.58417,1.16655,0.87,1.21644,0.0010989,0.0010989,0.0010989
9,541.152,1.15877,0.94898,1.25947,0.82403,0.87507,0.89007,0.57915,1.13522,0.85741,1.19472,0.00105174,0.00105174,0.00105174
10,612.56,1.13593,0.92591,1.24155,0.84749,0.87734,0.9042,0.61228,1.04411,0.81332,1.16413,0.00100459,0.00100459,0.00100459
11,676.645,1.12162,0.89611,1.23195,0.86657,0.88743,0.91472,0.62453,1.08129,0.78532,1.20218,0.00095743,0.00095743,0.00095743
12,733.621,1.11347,0.89603,1.23494,0.83285,0.86077,0.9029,0.60513,1.09404,0.81703,1.19403,0.000910273,0.000910273,0.000910273
13,780.08,1.1115,0.88314,1.22422,0.83542,0.89679,0.87083,0.52384,1.44784,0.87874,1.36971,0.000863116,0.000863116,0.000863116
14,832.766,1.10433,0.86628,1.21927,0.83409,0.90835,0.91653,0.60842,1.13656,0.77274,1.19532,0.000815959,0.000815959,0.000815959
15,881.749,1.11067,0.85714,1.21943,0.85884,0.9047,0.92016,0.62091,1.06376,0.74812,1.1727,0.000768802,0.000768802,0.000768802
16,942.293,1.10943,0.84808,1.21725,0.86904,0.9,0.93152,0.63828,1.05205,0.72069,1.16488,0.000721645,0.000721645,0.000721645
17,991.847,1.08272,0.83665,1.20186,0.83692,0.88396,0.91819,0.61503,1.07285,0.84564,1.17834,0.000674488,0.000674488,0.000674488
18,1045.03,1.08376,0.82183,1.19845,0.84331,0.90555,0.91826,0.63044,1.07996,0.73091,1.18029,0.000627331,0.000627331,0.000627331
19,1096.42,1.08054,0.81864,1.19933,0.82594,0.94629,0.91836,0.63097,1.03796,0.77164,1.15409,0.000580174,0.000580174,0.000580174
20,1152.98,1.07576,0.82248,1.1999,0.856,0.91341,0.91518,0.6226,1.0628,0.68359,1.16167,0.000533017,0.000533017,0.000533017
21,1264.29,1.0658,0.81538,1.1903,0.83006,0.90417,0.91307,0.60564,1.14683,0.7601,1.17725,0.00048586,0.00048586,0.00048586
22,1312.23,1.05453,0.77222,1.19,0.8461,0.9343,0.92268,0.62721,1.04482,0.70791,1.17499,0.000438703,0.000438703,0.000438703
23,1358.18,1.04017,0.7469,1.17621,0.87221,0.89625,0.92932,0.64451,0.99274,0.69217,1.1568,0.000391546,0.000391546,0.000391546
24,1398.31,1.03682,0.73645,1.17769,0.8818,0.89745,0.92461,0.63437,0.99938,0.68397,1.17179,0.000344389,0.000344389,0.000344389
25,1449.29,1.02821,0.7223,1.16068,0.84374,0.92492,0.92254,0.6487,0.99973,0.73905,1.15346,0.000297232,0.000297232,0.000297232
26,1490.97,1.01628,0.7148,1.16208,0.85352,0.9144,0.92311,0.64608,1.024,0.74322,1.1695,0.000250075,0.000250075,0.000250075
27,1542.7,1.00679,0.7113,1.16299,0.85472,0.90686,0.928,0.65115,1.00838,0.65948,1.16079,0.000202918,0.000202918,0.000202918
28,1593.35,1.00178,0.69912,1.15466,0.85089,0.90307,0.92425,0.65265,0.98745,0.6752,1.15046,0.000155761,0.000155761,0.000155761
29,1634.93,0.99635,0.69016,1.15537,0.83559,0.9343,0.9235,0.64981,0.9973,0.65908,1.14537,0.000108604,0.000108604,0.000108604
30,1684.55,0.98344,0.68212,1.14465,0.84332,0.92866,0.9272,0.6592,0.98449,0.65647,1.14447,6.1447e-05,6.1447e-05,6.1447e-05
